kod_obce,okres,nazev_obce,pocet_obyvatel_celkem,pocet_obyvatel_muzi,pocet_obyvatel_zeny,prumerny_vek_celkem,prumerny_vek_muzi,prumerny_vek_zeny
562343,Okres Děčín,Arnoltice,421,216,205,43.5783847980998,43.7916666666667,43.3536585365854
562351,Okres Děčín,Benešov nad Ploučnicí,3526,1754,1772,43.4965967101532,41.8050171037628,45.170993227991
544647,Okres Děčín,Bynovec,339,176,163,39.146017699115,38.4545454545455,39.8926380368098
562394,Okres Děčín,Česká Kamenice,5037,2497,2540,45.0378201310304,43.5937124549459,46.4574803149606
562335,Okres Děčín,Děčín,46376,22627,23749,44.2204372951527,42.5673089671631,45.7954650722136
562408,Okres Děčín,Dobkovice,647,342,305,43.2681607418856,42.4181286549708,44.2213114754098
545783,Okres Děčín,Dobrná,441,244,197,43.3412698412698,43.5614754098361,43.0685279187817
545856,Okres Děčín,Dolní Habartice,614,307,307,43.0342019543974,42.3338762214984,43.7345276872964
562432,Okres Děčín,Dolní Podluží,1153,574,579,43.9163052905464,43.6393728222997,44.1908462867012
562441,Okres Děčín,Dolní Poustevna,1668,843,825,40.9226618705036,40.0563463819692,41.8078787878788
530417,Okres Děčín,Doubice,97,47,50,53.1185567010309,54.7978723404255,51.54
545899,Okres Děčín,Františkov nad Ploučnicí,401,202,199,41.5448877805486,39.7920792079208,43.3241206030151
562483,Okres Děčín,Heřmanov,487,258,229,43.8490759753593,43.1899224806202,44.5917030567686
545929,Okres Děčín,Horní Habartice,453,227,226,43.1490066225166,42.7422907488987,43.5575221238938
562505,Okres Děčín,Horní Podluží,825,413,412,42.2793939393939,42.2699757869249,42.2888349514563
562513,Okres Děčín,Hřensko,247,141,106,45.580971659919,44.436170212766,47.1037735849057
562521,Okres Děčín,Huntířov,815,414,401,43.1846625766871,43.3695652173913,42.9937655860349
562530,Okres Děčín,Chřibská,1333,688,645,42.7063015753939,41.7441860465116,43.7325581395349
544680,Okres Děčín,Janov,338,157,181,51.0414201183432,49.3662420382166,52.4944751381215
530395,Okres Děčín,Janská,225,122,103,42.6555555555556,42.5983606557377,42.7233009708738
562556,Okres Děčín,Jetřichovice,395,203,192,48.4772151898734,48.8793103448276,48.0520833333333
562564,Okres Děčín,Jílové,4932,2482,2450,43.8582725060827,42.4468170829976,45.2881632653061
562572,Okres Děčín,Jiřetín pod Jedlovou,659,334,325,44.2693474962064,42.5928143712575,45.9923076923077
562581,Okres Děčín,Jiříkov,3507,1754,1753,43.550755631594,41.8893956670468,45.2130633200228
546453,Okres Děčín,Kámen,253,130,123,42.8913043478261,42.0153846153846,43.8170731707317
562611,Okres Děčín,Krásná Lípa,3341,1645,1696,43.3186171804849,42.2993920972644,44.3071933962264
546330,Okres Děčín,Kunratice,265,131,134,43.6433962264151,44.881679389313,42.4328358208955
562645,Okres Děčín,Kytlice,470,249,221,47.0617021276596,47.7931726907631,46.237556561086
544701,Okres Děčín,Labská Stráň,226,127,99,45.9601769911504,43.5236220472441,49.0858585858586
562661,Okres Děčín,Lipová,564,274,290,43.636524822695,41.3029197080292,45.8413793103448
545708,Okres Děčín,Lobendava,259,150,109,45.7702702702703,44.4,47.6559633027523
546496,Okres Děčín,Ludvíkovice,934,468,466,42.5524625267666,41.2649572649573,43.8454935622318
562700,Okres Děčín,Malá Veleň,439,235,204,44.0626423690205,42.3042553191489,46.0882352941176
562718,Okres Děčín,Malšovice,1034,534,500,39.4796905222437,38.6198501872659,40.398
545678,Okres Děčín,Markvartice,742,375,367,40.3355795148248,39.0466666666667,41.6525885558583
545791,Okres Děčín,Merboltice,195,106,89,43.0179487179487,44.3867924528302,41.3876404494382
562751,Okres Děčín,Mikulášovice,2092,1053,1039,44.6615678776291,43.6614434947768,45.6751684311838
562777,Okres Děčín,Rumburk,10815,5258,5557,43.4937124364309,42.0285279573983,44.8800611840921
566900,Okres Děčín,Růžová,588,317,271,44.3622448979592,43.083596214511,45.8579335793358
562793,Okres Děčín,Rybniště,721,369,352,43.4486823855756,43.7953929539295,43.0852272727273
546348,Okres Děčín,Srbská Kamenice,278,134,144,44.0431654676259,42.7164179104478,45.2777777777778
562823,Okres Děčín,Staré Křečany,1228,643,585,44.3379478827362,44.1034214618974,44.5957264957265
545538,Okres Děčín,Starý Šachov,230,127,103,41.2086956521739,40.6811023622047,41.8592233009709
562858,Okres Děčín,Šluknov,5629,2846,2783,41.3786640611121,40.0291637385805,42.7587136183974
555193,Okres Děčín,Těchlovice,497,260,237,43.3088531187123,43.2846153846154,43.3354430379747
562874,Okres Děčín,Valkeřice,405,216,189,42.3222222222222,43.2592592592593,41.2513227513228
562882,Okres Děčín,Varnsdorf,14704,7186,7518,43.8152883569097,41.9483718341219,45.5997605746209
562891,Okres Děčín,Velká Bukovina,515,262,253,43.8805825242718,42.881679389313,44.9150197628459
562912,Okres Děčín,Velký Šenov,2013,999,1014,42.8373075012419,42.0845845845846,43.5788954635109
562921,Okres Děčín,Verneřice,1171,612,559,42.569171648164,41.9558823529412,43.2406082289803
562939,Okres Děčín,Veselé,387,198,189,40.3966408268734,39.4747474747475,41.3624338624339
