MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
259709,179769,22793071000002,Medicus Polepy s.r.o.,Samost. ordinace všeob. prakt. lékaře,Velemín,41131,,136,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420778500255,,medicuspolepy@gmail.com,,22793071,2,112,CZ042,CZ0423,Polepy,41147,,120,všeobecné praktické lékařství,ambulantní péče,,ZDENĚK ŠKOLA,50.542381772946,13.981184663117
178665,179624,3869628000000,JOCORP s.r.o.,"Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře, Samostatná ordinace PL - stomatologa",Jiříkov,40753,Březinova,730/1,Ústecký kraj,CZ042,Děčín,CZ0421,,420412331094,,ordinacerumburk@seznam.cz,https://mudr-josef-korinek.webnode.cz/,3869628,2,112,CZ042,CZ0421,Jiříkov,40753,Březinova,730/1,"Dentální hygienistka, zubní lékařství, všeobecné praktické lékařství",ambulantní péče,,"EVŽEN ČERNÝ, JOSEF KOŘÍNEK",50.99258988156,14.575677230718
259337,179454,13963333001000,MUDr. Nabil Ghassan,Samost. ordinace všeob. prakt. lékaře,Most,43401,Moskevská,508,Ústecký kraj,CZ042,Most,CZ0425,,,,,,13963333,1,,CZ042,CZ0425,Most,43401,Moskevská,508,všeobecné praktické lékařství,ambulantní péče,,,50.507737872209,13.656653618544
259272,179410,6349200005000,Doktorum s.r.o.,Samost. ordinace všeob. prakt. lékaře,Chabařovice,40317,Husovo náměstí,1,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,info@doktorum.cz,www.doktorum.cz,6349200,2,112,CZ010,CZ0100,Praha 22,10400,Husovo náměstí,468/16,všeobecné praktické lékařství,primární ambulantní péče,,"Karla Barková, MARTA ŠIFALDOVÁ, Miloš Lapka, ONDŘEJ KRAJNÍK",50.672548582471,13.943843879925
249077,179235,22339957000000,MariMed plus s.r.o.,Samost. ordinace všeob. prakt. lékaře,Málkov,43102,,62,Ústecký kraj,CZ042,Chomutov,CZ0422,,420604509380,,marimedplus@seznam.cz,,22339957,2,112,CZ042,CZ0422,Kadaň,43201,Koželužská,1521,všeobecné praktické lékařství,primární ambulantní péče,,Maryna Kremsenko,50.445693702731,13.31953380842
248895,179092,14072904000004,Závodní lékaři s. r. o.,Samost. ordinace všeob. prakt. lékaře,Ústí nad Labem,40007,U Pivovarské zahrady,793/5,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420414120550,,v.prejzek@seznam.cz,,14072904,2,112,CZ042,CZ0421,Šluknov,40777,nám. Míru,344,"všeobecné praktické lékařství, vnitřní lékařství",ambulantní péče,,VRATISLAV PREJZEK,50.667657985423,14.075887064957
248872,179080,3676625001001,MUDr. Alaa M A Sara SHAMASNA,Samost. ordinace všeob. prakt. lékaře,Most,43401,Moskevská,508,Ústecký kraj,CZ042,Most,CZ0425,,420417977800,,,http://shamasna.cz,3676625,1,,CZ042,CZ0426,Teplice,41501,U nádraží,529/7,všeobecné praktické lékařství,ambulantní péče,,,50.507737872209,13.656653618544
248700,178920,17618207001000,MUDr. Matej Tvorík s.r.o.,Samost. ordinace všeob. prakt. lékaře,Krupka,41741,Bohosudovská,378,Ústecký kraj,CZ042,Teplice,CZ0426,,420412386274,,tvorik.sluknov@gmail.com,,17618207,2,112,CZ042,CZ0421,Šluknov,40777,nám. Míru,344,všeobecné praktické lékařství,ambulantní péče,,MATEJ TVORÍK,50.680600554868,13.867590608963
248632,178861,3459501000001,Senzafit s.r.o.,Samost. ordinace všeob. prakt. lékaře,Bílina,41801,Sídliště Za Chlumem,733,Ústecký kraj,CZ042,Teplice,CZ0426,,420417814310,,vpl2@seznam.cz,,3459501,2,112,CZ010,CZ0100,Praha 2,12000,Bělehradská,858/23,všeobecné praktické lékařství,ambulantní péče,,STANISLAV ZAJÍČEK,50.554894189069,13.786088526909
248381,178670,22200371000000,MUDr. Yuliya Sodoma s.r.o.,Samost. ordinace všeob. prakt. lékaře,Měcholupy,43931,,151,Ústecký kraj,CZ042,Louny,CZ0424,,420776760008,,,,22200371,2,112,CZ042,CZ0424,Měcholupy,43931,,151,všeobecné praktické lékařství,primární ambulantní péče,,Yuliya Sodoma,50.264907396481,13.539100823083
248326,178630,22257624000000,"BEOWULF Medic, s.r.o.",Samost. ordinace všeob. prakt. lékaře,Varnsdorf,40747,Lesní,2970,Ústecký kraj,CZ042,Děčín,CZ0421,,420412372800,,praktik.flusek@gmail.com,,22257624,2,112,CZ042,CZ0421,Varnsdorf,40747,Bjarnata Krawce,1720,všeobecné praktické lékařství,ambulantní péče,,MUDr. JIŘÍ FLUSEK,50.907038383453,14.6166428908
