okres,kod_okresu,kod_obce,nazev_obce,pocet_obyvatel_celkem,pocet_obyvatel_muzi,pocet_obyvatel_zeny,prumerny_vek_celkem,prumerny_vek_muzi,prumerny_vek_zeny
district,CZ0100,554782,Praha,1397880,679162,718718,41.8648954130541,40.3561977849173,43.2905590231496
Okres Benešov,CZ0201,529303,Benešov,17043,8058,8985,43.8786305227953,42.2362869198312,45.351530328325
Okres Benešov,CZ0201,532568,Bernartice,223,102,121,45.1726457399103,46.0294117647059,44.4504132231405
Okres Benešov,CZ0201,530743,Bílkovice,225,113,112,45.78,45.5973451327434,45.9642857142857
Okres Benešov,CZ0201,532380,Blažejovice,102,50,52,49.843137254902,47.78,51.8269230769231
Okres Benešov,CZ0201,532096,Borovnice,91,42,49,41.2472527472527,38.3333333333333,43.7448979591837
Okres Benešov,CZ0201,532924,Bukovany,824,429,395,41.003640776699,40.7027972027972,41.3303797468354
Okres Benešov,CZ0201,529451,Bystřice,4698,2361,2337,42.071306939123,41.1027107157984,43.0498502353445
Okres Benešov,CZ0201,532690,Ctiboř,179,86,93,35.8184357541899,37.6744186046512,34.1021505376344
Okres Benešov,CZ0201,529478,Čakov,131,67,64,38.3320610687023,36.1417910447761,40.625
Okres Benešov,CZ0201,529486,Čechtice,1430,706,724,43.686013986014,42.8371104815864,44.5138121546961
Okres Benešov,CZ0201,529516,Čerčany,3133,1542,1591,41.823970635174,40.8780804150454,42.7407291011942
Okres Benešov,CZ0201,529532,Červený Újezd,344,167,177,42.9912790697674,43.2844311377246,42.7146892655367
Okres Benešov,CZ0201,529541,Český Šternberk,184,91,93,44.3804347826087,45.1813186813187,43.5967741935484
Okres Benešov,CZ0201,529567,Čtyřkoly,800,393,407,41.4825,41.0903307888041,41.8611793611794
Okres Benešov,CZ0201,532746,Děkanovice,62,32,30,45.758064516129,45.40625,46.1333333333333
Okres Benešov,CZ0201,529621,Divišov,1831,937,894,41.8418896777717,39.6270010672359,44.1633109619687
Okres Benešov,CZ0201,529648,Dolní Kralovice,907,454,453,44.7050716648291,42.5947136563877,46.8200883002208
Okres Benešov,CZ0201,532151,Drahňovice,111,59,52,37.0945945945946,34.4830508474576,40.0576923076923
Okres Benešov,CZ0201,532843,Dunice,66,37,29,45.4848484848485,43.4189189189189,48.1206896551724
Okres Benešov,CZ0201,529702,Heřmaničky,743,370,373,43.3008075370121,43.2972972972973,43.3042895442359
Okres Benešov,CZ0201,532932,Hradiště,35,22,13,47.6142857142857,42.9545454545455,55.5
Okres Benešov,CZ0201,529737,Hulice,277,130,147,46.1462093862816,44.3923076923077,47.6972789115646
Okres Benešov,CZ0201,529745,Hvězdonice,343,174,169,42.1851311953353,40.5402298850575,43.8786982248521
Okres Benešov,CZ0201,532886,Chářovice,230,119,111,37.9173913043478,35.953781512605,40.0225225225225
Okres Benešov,CZ0201,532878,Chleby,49,28,21,51.4591836734694,52.1428571428571,50.5476190476191
Okres Benešov,CZ0201,532045,Chlístov,463,235,228,37.6943844492441,36.8659574468085,38.5482456140351
Okres Benešov,CZ0201,529770,Chlum,123,63,60,46.9308943089431,49.1666666666667,44.5833333333333
Okres Benešov,CZ0201,529788,Chmelná,164,87,77,38.7743902439024,38.5114942528736,39.0714285714286
Okres Benešov,CZ0201,529796,Chocerady,1383,687,696,42.4739696312364,41.8391557496361,43.1005747126437
Okres Benešov,CZ0201,532606,Choratice,64,33,31,46.171875,43.1969696969697,49.3387096774194
Okres Benešov,CZ0201,529818,Chotýšany,670,332,338,40.0626865671642,38.6566265060241,41.4437869822485
Okres Benešov,CZ0201,532037,Chrášťany,254,128,126,41.0157480314961,40.234375,41.8095238095238
Okres Benešov,CZ0201,529842,Jankov,914,433,481,43.5929978118162,42.1951501154734,44.8513513513514
Okres Benešov,CZ0201,529851,Javorník,147,72,75,42.1938775510204,42.0416666666667,42.34
Okres Benešov,CZ0201,532134,Ješetice,124,63,61,44.5967741935484,42.8968253968254,46.3524590163934
Okres Benešov,CZ0201,531031,Kamberk,176,94,82,46.5511363636364,44.6276595744681,48.7560975609756
Okres Benešov,CZ0201,529907,Keblov,188,98,90,43.9042553191489,42.969387755102,44.9222222222222
